name,population
global,7774000
belarus,9449.321
mexico,128932.753
trinidad and tobago,1399.491
uruguay,3473.727
mozambique,31255.435
saint vincent and the grenadines,110.947
colombia,50882.884
montenegro,628.062
laos,70000
luxembourg,625.976
south africa,59308.69
guinea,13132.792
gabon,2225.728
india,1380004.385
kuwait,4270.563
brazil,212559.409
germany,83783.945
belgium,11589.616
belize,397.621
holy see,0.809
guatemala,17915.567
israel,8655.541
somalia,15893.219
bolivia,11500
san marino,33.938
cuba,11326.616
czechia,10708.982
bhutan,771.612
haiti,11402.533
el salvador,6486.201
malta,441.539
barbados,287.371
mauritania,4649.66
serbia,8737.37
philippines,109581.085
angola,32866.268
morocco,36910.558
jamaica,2961.161
switzerland,8654.618
tanzania,57500
costa rica,5094.114
fiji,896.444
burkina faso,20903.278
kenya,53771.3
us,330504
egypt,102334.403
bangladesh,164689.383
nepal,29136.808
peru,32971.846
papua new guinea,8947.027
saudi arabia,34813.867
pakistan,220892.331
algeria,43851.043
suriname,586.634
qatar,2881.06
ghana,31072.945
armenia,2963.234
taiwan*,24000
russia,145000
azerbaijan,10139.175
saint lucia,183.629
ireland,4937.796
greece,10423.056
ecuador,17643.06
slovenia,2078.932
united arab emirates,9890.4
indonesia,273523.621
italy,60461.828
iran,81500
hungary,9660.35
canada,37742.157
liberia,5057.677
monaco,39.244
togo,8278.737
uganda,45741
mali,20250.834
cote d'ivoire,24600
eswatini,1160.164
brunei,430
bulgaria,6948.445
kyrgyzstan,6524.191
bahrain,1701.583
madagascar,27691.019
moldova,4000
bahamas,393.248
vietnam,96000
grenada,112.519
china,1439323.774
poland,37846.605
ukraine,43733.759
cyprus,1207.361
equatorial guinea,1402.985
chile,19116.209
norway,5421.242
uzbekistan,33469.199
portugal,10196.707
honduras,9904.608
saint kitts and nevis,53.192
finland,5540.718
bosnia and herzegovina,3280.815
netherlands,17134.873
oman,5106.622
argentina,45195.777
croatia,4105.268
cameroon,26545.864
timor-leste,1318.442
jordan,10203.14
senegal,16743.93
diamond princess,2.7
central african republic,4829.764
djibouti,988.002
west bank and gaza,4700
spain,46754.783
georgia,3989.175
estonia,1326.539
chad,16425.859
denmark,5792.203
sri lanka,21413.25
eritrea,3546.427
thailand,69799.978
united kingdom,67886.004
tunisia,11818.618
congo (kinshasa),81500
mauritius,1271.767
libya,6871.287
nicaragua,6624.554
albania,2877.8
maldives,540.542
iraq,40222.503
seychelles,98.34
latvia,1886.202
venezuela,33000
japan,126476.458
zimbabwe,14862.927
france,65273.512
namibia,2540.916
liechtenstein,38.137
antigua and barbuda,97.928
congo (brazzaville),5280
north macedonia,2083.38
kazakhstan,18776.707
nigeria,206139.587
romania,19237.682
syria,18500
panama,4314.768
austria,9006.4
dominican republic,10847.904
guinea-bissau,1967.998
gambia,2416.664
guyana,786.559
malaysia,32365.998
cambodia,16718.971
cabo verde,555.988
rwanda,12952.209
"korea, south",51700
sudan,43849.269
andorra,77.265
dominica,71.991
benin,12123.198
niger,24206.636
australia,25499.881
iceland,341.25
new zealand,4822.233
zambia,18383.956
ethiopia,114963.583
mongolia,3278.292
sweden,10099.27
afghanistan,38928.341
lithuania,2722.291
lebanon,6825.442
slovakia,5459.643
singapore,5850.343
paraguay,7132.53
turkey,84339.067
kosovo,1810.463
burma,54318.311
